tp_pts,sl_pts,rr_ratio,risk_mult,total_trades,win_rate,wins,losses,pnl_pts,pnl_usd,profit_factor,max_dd_usd,avg_trade_usd
12,60,0.2,5.0,846,89.48,757,89,3744.0,74880.0,1.7,8400.0,88.51
10,60,0.17,6.0,846,91.96,778,68,3700.0,74000.0,1.91,5200.0,87.47
8,60,0.13,7.5,846,94.56,800,46,3640.0,72800.0,2.32,3440.0,86.05
12,75,0.16,6.25,846,91.13,771,75,3627.0,72540.0,1.64,10740.0,85.74
10,75,0.13,7.5,846,93.26,789,57,3615.0,72300.0,1.85,6400.0,85.46
8,75,0.11,9.38,846,95.51,808,38,3614.0,72280.0,2.27,5180.0,85.44
15,60,0.25,4.0,846,85.46,723,123,3465.0,69300.0,1.47,8100.0,81.91
15,75,0.2,5.0,846,87.47,740,106,3150.0,63000.0,1.4,12300.0,74.47
12,50,0.24,4.17,846,86.64,733,113,3146.0,62920.0,1.56,7000.0,74.37
5,75,0.07,15.0,846,98.23,831,15,3030.0,60600.0,3.69,4400.0,71.63
10,50,0.2,5.0,846,89.24,755,91,3000.0,60000.0,1.66,4400.0,70.92
20,60,0.33,3.0,846,79.43,672,174,2985.0,59700.0,1.29,12145.0,70.57
15,50,0.3,3.33,846,82.27,696,150,2940.0,58800.0,1.39,6800.0,69.5
8,50,0.16,6.25,846,92.2,780,66,2940.0,58800.0,1.89,4160.0,69.5
5,60,0.08,12.0,846,97.64,826,20,2930.0,58600.0,3.44,3500.0,69.27
25,60,0.42,2.4,846,74.59,631,215,2840.0,56800.0,1.22,12445.0,67.14
25,50,0.5,2.0,846,71.04,601,245,2740.0,54800.0,1.22,11000.0,64.78
8,35,0.23,4.38,846,88.89,752,94,2726.0,54520.0,1.83,3480.0,64.44
12,45,0.27,3.75,846,84.52,715,131,2685.0,53700.0,1.46,7440.0,63.48
20,75,0.27,3.75,846,82.27,696,150,2655.0,53100.0,1.24,15145.0,62.77
5,50,0.1,10.0,846,96.57,817,29,2635.0,52700.0,2.82,2900.0,62.29
8,45,0.18,5.62,846,90.78,768,78,2634.0,52680.0,1.75,4620.0,62.27
10,45,0.22,4.5,846,87.47,740,106,2630.0,52600.0,1.55,5000.0,62.17
8,30,0.27,3.75,846,87.12,737,109,2626.0,52520.0,1.8,4000.0,62.08
20,50,0.4,2.5,846,75.89,642,204,2625.0,52500.0,1.26,9945.0,62.06
12,40,0.3,3.33,846,82.86,701,145,2612.0,52240.0,1.45,6640.0,61.75
10,35,0.29,3.5,846,84.63,716,130,2610.0,52200.0,1.57,3400.0,61.7
8,40,0.2,5.0,846,89.6,758,88,2544.0,50880.0,1.72,4480.0,60.14
12,35,0.34,2.92,846,80.85,684,162,2538.0,50760.0,1.45,5320.0,60.0
10,40,0.25,4.0,846,85.93,727,119,2510.0,50200.0,1.53,5000.0,59.34
15,35,0.43,2.33,846,75.89,642,204,2490.0,49800.0,1.35,5800.0,58.87
10,30,0.33,3.0,846,82.27,696,150,2460.0,49200.0,1.55,3400.0,58.16
8,25,0.32,3.12,846,84.52,715,131,2445.0,48900.0,1.75,2800.0,57.8
5,45,0.11,9.0,846,95.74,810,36,2430.0,48600.0,2.5,2600.0,57.45
15,40,0.38,2.67,846,77.9,659,187,2405.0,48100.0,1.32,7200.0,56.86
30,50,0.6,1.67,846,66.08,559,287,2393.5,47870.0,1.17,12345.0,56.58
12,30,0.4,2.5,846,78.13,661,185,2382.0,47640.0,1.43,6480.0,56.31
15,45,0.33,3.0,846,79.67,674,172,2370.0,47400.0,1.31,7200.0,56.03
25,75,0.33,3.0,846,77.78,658,188,2315.0,46300.0,1.16,21000.0,54.73
5,35,0.14,7.0,846,94.33,798,48,2310.0,46200.0,2.38,2000.0,54.61
25,40,0.62,1.6,846,65.72,556,290,2265.0,45300.0,1.2,9400.0,53.55
5,40,0.12,8.0,846,94.8,802,44,2250.0,45000.0,2.28,2300.0,53.19
8,20,0.4,2.5,846,80.73,683,163,2204.0,44080.0,1.68,3120.0,52.1
5,30,0.17,6.0,846,93.03,787,59,2165.0,43300.0,2.22,2100.0,51.18
10,25,0.4,2.5,846,78.72,666,180,2160.0,43200.0,1.48,2500.0,51.06
15,30,0.5,2.0,846,72.34,612,234,2160.0,43200.0,1.31,7200.0,51.06
20,40,0.5,2.0,846,70.92,600,246,2145.0,42900.0,1.22,8400.0,50.71
25,35,0.71,1.4,846,62.53,529,317,2095.0,41900.0,1.19,8700.0,49.53
20,35,0.57,1.75,846,68.09,576,270,2055.0,41100.0,1.22,6700.0,48.58
30,60,0.5,2.0,846,69.39,587,259,2053.5,41070.0,1.13,14745.0,48.55
12,25,0.48,2.08,846,74.0,626,220,2012.0,40240.0,1.37,4620.0,47.57
5,25,0.2,5.0,846,91.13,771,75,1980.0,39600.0,2.06,1700.0,46.81
30,40,0.75,1.33,846,60.52,512,334,1963.5,39270.0,1.15,9600.0,46.42
10,20,0.5,2.0,846,74.35,629,217,1950.0,39000.0,1.45,3400.0,46.1
30,35,0.86,1.17,846,57.45,486,360,1938.5,38770.0,1.15,12875.0,45.83
8,15,0.53,1.88,846,75.18,636,210,1938.0,38760.0,1.62,4060.0,45.82
25,45,0.56,1.8,846,67.61,572,274,1935.0,38700.0,1.16,9600.0,45.74
20,45,0.44,2.25,846,72.7,615,231,1890.0,37800.0,1.18,10345.0,44.68
15,25,0.6,1.67,846,67.97,575,271,1850.0,37000.0,1.27,5000.0,43.74
12,20,0.6,1.67,846,69.27,586,260,1832.0,36640.0,1.35,5920.0,43.31
25,30,0.83,1.2,846,58.51,495,351,1810.0,36200.0,1.17,8345.0,42.79
20,30,0.67,1.5,846,64.3,544,302,1805.0,36100.0,1.2,7800.0,42.67
25,25,1.0,1.0,846,54.26,459,387,1765.0,35300.0,1.18,7000.0,41.73
5,20,0.25,4.0,846,88.18,746,100,1730.0,34600.0,1.86,1900.0,40.9
12,15,0.8,1.25,846,63.12,534,312,1728.0,34560.0,1.37,3900.0,40.85
10,15,0.67,1.5,846,68.09,576,270,1710.0,34200.0,1.42,3400.0,40.43
30,45,0.67,1.5,846,62.65,530,316,1648.5,32970.0,1.12,11445.0,38.97
15,20,0.75,1.33,846,62.53,529,317,1595.0,31900.0,1.25,7000.0,37.71
30,30,1.0,1.0,846,53.19,450,396,1573.5,31470.0,1.13,15875.0,37.2
25,20,1.25,0.8,846,48.58,411,435,1540.0,30800.0,1.18,8645.0,36.41
20,25,0.8,1.25,846,59.57,504,342,1515.0,30300.0,1.18,7345.0,35.82
30,25,1.2,0.83,846,48.82,413,433,1513.5,30270.0,1.14,13175.0,35.78
15,15,1.0,1.0,846,55.91,473,373,1500.0,30000.0,1.27,6000.0,35.46
30,75,0.4,2.5,846,73.05,618,228,1438.5,28770.0,1.08,25245.0,34.01
25,15,1.67,0.6,846,41.61,352,494,1367.75,27355.0,1.18,7000.0,32.33
40,50,0.8,1.25,846,57.45,486,360,1341.75,26835.0,1.07,25835.0,31.72
5,15,0.33,3.0,846,82.74,700,146,1310.0,26200.0,1.6,2300.0,30.97
20,20,1.0,1.0,846,53.9,456,390,1305.0,26100.0,1.17,9345.0,30.85
20,15,1.33,0.75,846,47.28,400,446,1302.75,26055.0,1.19,6900.0,30.8
30,15,2.0,0.5,846,36.88,312,534,1294.75,25895.0,1.16,8005.0,30.61
30,20,1.5,0.67,846,43.03,364,482,1223.5,24470.0,1.13,15075.0,28.92
40,60,0.67,1.5,846,61.35,519,327,1051.75,21035.0,1.05,32710.0,24.86
40,75,0.53,1.88,846,66.19,560,286,1006.5,20130.0,1.05,50310.0,23.79
40,35,1.14,0.88,846,48.23,408,438,876.75,17535.0,1.06,36210.0,20.73
40,25,1.6,0.62,846,40.19,340,506,858.5,17170.0,1.07,19975.0,20.3
40,30,1.33,0.75,846,44.44,376,470,821.75,16435.0,1.06,28710.0,19.43
40,15,2.67,0.38,846,29.08,246,600,754.75,15095.0,1.08,16005.0,17.84
40,40,1.0,1.0,846,51.18,433,413,691.75,13835.0,1.04,28310.0,16.35
40,45,0.89,1.12,846,53.9,456,390,586.75,11735.0,1.03,34710.0,13.87
40,20,2.0,0.5,846,34.63,293,553,563.5,11270.0,1.05,22875.0,13.32
50,15,3.33,0.3,846,23.64,200,646,194.75,3895.0,1.02,18305.0,4.6
60,25,2.4,0.42,846,29.91,253,593,159.75,3195.0,1.01,18945.0,3.78
50,25,2.0,0.5,846,33.69,285,561,93.5,1870.0,1.01,21675.0,2.21
60,15,4.0,0.25,846,20.09,170,676,-109.0,-2180.0,0.99,18945.0,-2.58
50,20,2.5,0.4,846,28.49,241,605,-186.5,-3730.0,0.98,25675.0,-4.41
60,60,1.0,1.0,846,50.0,423,423,-216.0,-4320.0,0.99,38295.0,-5.11
60,30,2.0,0.5,846,33.33,282,564,-266.0,-5320.0,0.98,30130.0,-6.29
60,20,3.0,0.33,846,24.82,210,636,-320.25,-6405.0,0.97,24215.0,-7.57
50,30,1.67,0.6,846,37.23,315,531,-362.25,-7245.0,0.98,34190.0,-8.56
50,60,0.83,1.2,846,54.26,459,387,-451.25,-9025.0,0.98,38570.0,-10.67
50,50,1.0,1.0,846,49.65,420,426,-462.25,-9245.0,0.98,32790.0,-10.93
60,50,1.2,0.83,846,45.15,382,464,-477.0,-9540.0,0.98,32255.0,-11.28
60,75,0.8,1.25,846,55.08,466,380,-559.5,-11190.0,0.98,64695.0,-13.23
60,35,1.71,0.58,846,36.41,308,538,-577.0,-11540.0,0.97,39950.0,-13.64
50,35,1.43,0.7,846,40.54,343,503,-632.25,-12645.0,0.96,43390.0,-14.95
50,40,1.25,0.8,846,43.5,368,478,-892.25,-17845.0,0.95,37990.0,-21.09
50,75,0.67,1.5,846,59.1,500,346,-949.75,-18995.0,0.96,61135.0,-22.45
60,40,1.5,0.67,846,39.13,331,515,-957.0,-19140.0,0.95,35745.0,-22.62
60,45,1.33,0.75,846,41.73,353,493,-1212.0,-24240.0,0.95,44850.0,-28.65
50,45,1.11,0.9,846,45.86,388,458,-1377.25,-27545.0,0.93,48490.0,-32.56
