tp_pts,sl_pts,rr_ratio,risk_mult,total_trades,win_rate,wins,losses,pnl_pts,pnl_usd,profit_factor,max_dd_usd,avg_trade_usd
12,60,0.2,5.0,419,92.84,389,30,2868.0,57360.0,2.59,4320.0,136.9
12,75,0.16,6.25,419,93.79,393,26,2766.0,55320.0,2.42,5520.0,132.03
15,60,0.25,4.0,419,88.54,371,48,2685.0,53700.0,1.93,5400.0,128.16
10,60,0.17,6.0,419,94.27,395,24,2510.0,50200.0,2.74,2600.0,119.81
10,75,0.13,7.5,419,95.23,399,20,2490.0,49800.0,2.66,3500.0,118.85
15,75,0.2,5.0,419,89.74,376,43,2415.0,48300.0,1.75,5400.0,115.27
20,60,0.33,3.0,419,82.1,344,75,2365.0,47300.0,1.53,5200.0,112.89
12,50,0.24,4.17,419,89.5,375,44,2300.0,46000.0,2.05,3520.0,109.79
8,75,0.11,9.38,419,96.9,406,13,2273.0,45460.0,3.33,3700.0,108.5
8,60,0.13,7.5,419,96.18,403,16,2264.0,45280.0,3.36,2800.0,108.07
15,50,0.3,3.33,419,84.96,356,63,2190.0,43800.0,1.7,4500.0,104.53
25,60,0.42,2.4,419,76.61,321,98,2120.0,42400.0,1.36,8500.0,101.19
20,75,0.27,3.75,419,84.25,353,66,2095.0,41900.0,1.42,7500.0,100.0
25,50,0.5,2.0,419,73.27,307,112,2050.0,41000.0,1.37,7500.0,97.85
20,50,0.4,2.5,419,78.28,328,91,1995.0,39900.0,1.44,4200.0,95.23
10,50,0.2,5.0,419,91.17,382,37,1970.0,39400.0,2.06,3400.0,94.03
12,45,0.27,3.75,419,86.87,364,55,1893.0,37860.0,1.76,3780.0,90.36
30,60,0.5,2.0,419,71.84,301,118,1892.0,37840.0,1.27,8400.0,90.31
30,50,0.6,1.67,419,68.26,286,133,1872.0,37440.0,1.28,6400.0,89.36
8,50,0.16,6.25,419,93.79,393,26,1844.0,36880.0,2.42,3720.0,88.02
15,45,0.33,3.0,419,81.86,343,76,1725.0,34500.0,1.5,5100.0,82.34
12,40,0.3,3.33,419,84.73,355,64,1700.0,34000.0,1.66,3280.0,81.15
10,45,0.22,4.5,419,89.02,373,46,1660.0,33200.0,1.8,3900.0,79.24
25,75,0.33,3.0,419,79.0,331,88,1650.0,33000.0,1.25,14500.0,78.76
5,60,0.08,12.0,419,98.33,412,7,1640.0,32800.0,4.9,2400.0,78.28
5,75,0.07,15.0,419,98.57,413,6,1615.0,32300.0,4.59,3000.0,77.09
15,40,0.38,2.67,419,79.71,334,85,1610.0,32200.0,1.47,4700.0,76.85
12,35,0.34,2.92,419,82.58,346,73,1597.0,31940.0,1.63,3440.0,76.23
15,35,0.43,2.33,419,77.57,325,94,1585.0,31700.0,1.48,3700.0,75.66
40,60,0.67,1.5,419,63.96,268,151,1572.0,31440.0,1.17,19605.0,75.04
8,45,0.18,5.62,419,91.89,385,34,1550.0,31000.0,2.01,4120.0,73.99
40,75,0.53,1.88,419,68.26,286,133,1506.75,30135.0,1.15,30305.0,71.92
10,40,0.25,4.0,419,87.11,365,54,1490.0,29800.0,1.69,3600.0,71.12
25,40,0.62,1.6,419,67.06,281,138,1480.0,29600.0,1.27,7600.0,70.64
15,30,0.5,2.0,419,74.46,312,107,1470.0,29400.0,1.46,4200.0,70.17
20,40,0.5,2.0,419,72.55,304,115,1465.0,29300.0,1.32,6000.0,69.93
12,30,0.4,2.5,419,79.71,334,85,1458.0,29160.0,1.57,3480.0,69.59
10,35,0.29,3.5,419,85.44,358,61,1445.0,28900.0,1.68,3000.0,68.97
5,50,0.1,10.0,419,97.14,407,12,1435.0,28700.0,3.39,2100.0,68.5
8,40,0.2,5.0,419,90.45,379,40,1432.0,28640.0,1.9,4160.0,68.35
20,45,0.44,2.25,419,74.46,312,107,1410.0,28200.0,1.29,4900.0,67.3
12,25,0.48,2.08,419,76.61,321,98,1402.0,28040.0,1.57,2780.0,66.92
10,30,0.33,3.0,419,83.29,349,70,1390.0,27800.0,1.66,3600.0,66.35
8,35,0.23,4.38,419,89.02,373,46,1374.0,27480.0,1.85,3360.0,65.58
40,50,0.8,1.25,419,59.43,249,170,1372.0,27440.0,1.16,16805.0,65.49
25,45,0.56,1.8,419,68.97,289,130,1350.0,27000.0,1.23,6700.0,64.44
15,25,0.6,1.67,419,70.41,295,124,1325.0,26500.0,1.43,2600.0,63.25
10,25,0.4,2.5,419,80.43,337,82,1320.0,26400.0,1.64,2600.0,63.01
30,40,0.75,1.33,419,61.81,259,160,1312.0,26240.0,1.2,7400.0,62.63
30,75,0.4,2.5,419,74.46,312,107,1277.0,25540.0,1.16,16705.0,60.95
8,30,0.27,3.75,419,86.87,364,55,1262.0,25240.0,1.76,4080.0,60.24
8,25,0.32,3.12,419,84.73,355,64,1240.0,24800.0,1.78,3080.0,59.19
30,30,1.0,1.0,419,55.13,231,188,1232.0,24640.0,1.22,9805.0,58.81
20,35,0.57,1.75,419,68.97,289,130,1215.0,24300.0,1.27,6600.0,58.0
25,35,0.71,1.4,419,63.25,265,154,1210.0,24200.0,1.22,7500.0,57.76
25,25,1.0,1.0,419,55.85,234,185,1200.0,24000.0,1.26,5500.0,57.28
5,45,0.11,9.0,419,95.7,401,18,1195.0,23900.0,2.48,2700.0,57.04
10,20,0.5,2.0,419,76.13,319,100,1190.0,23800.0,1.6,2000.0,56.8
12,20,0.6,1.67,419,71.36,299,120,1188.0,23760.0,1.5,2880.0,56.71
30,45,0.67,1.5,419,63.96,268,151,1187.0,23740.0,1.17,6600.0,56.66
30,25,1.2,0.83,419,50.84,213,206,1182.0,23640.0,1.23,6460.0,56.42
25,30,0.83,1.2,419,59.67,250,169,1155.0,23100.0,1.23,7400.0,55.13
30,35,0.86,1.17,419,58.23,244,175,1137.0,22740.0,1.19,9660.0,54.27
20,30,0.67,1.5,419,65.39,274,145,1115.0,22300.0,1.26,6200.0,53.22
12,15,0.8,1.25,419,65.39,274,145,1113.0,22260.0,1.51,2400.0,53.13
8,20,0.4,2.5,419,80.91,339,80,1112.0,22240.0,1.7,2160.0,53.08
5,40,0.12,8.0,419,94.75,397,22,1105.0,22100.0,2.26,2400.0,52.74
20,25,0.8,1.25,419,61.34,257,162,1075.0,21500.0,1.27,4700.0,51.31
5,35,0.14,7.0,419,93.79,393,26,1055.0,21100.0,2.16,1900.0,50.36
15,20,0.75,1.33,419,63.96,268,151,1000.0,20000.0,1.33,3800.0,47.73
40,30,1.33,0.75,419,46.54,195,224,992.0,19840.0,1.15,17605.0,47.35
10,15,0.67,1.5,419,69.45,291,128,990.0,19800.0,1.52,2500.0,47.26
40,25,1.6,0.62,419,42.24,177,242,942.0,18840.0,1.16,10105.0,44.96
5,30,0.17,6.0,419,92.12,386,33,940.0,18800.0,1.95,2800.0,44.87
8,15,0.53,1.88,419,74.94,314,105,937.0,18740.0,1.59,1840.0,44.73
15,15,1.0,1.0,419,57.28,240,179,915.0,18300.0,1.34,3000.0,43.68
25,20,1.25,0.8,419,49.4,207,212,910.0,18200.0,1.21,5200.0,43.44
5,25,0.2,5.0,419,89.98,377,42,835.0,16700.0,1.8,2100.0,39.86
30,20,1.5,0.67,419,44.15,185,234,812.0,16240.0,1.17,7805.0,38.76
40,45,0.89,1.12,419,55.37,232,187,777.0,15540.0,1.09,17705.0,37.09
20,20,1.0,1.0,419,54.65,229,190,765.0,15300.0,1.2,5345.0,36.52
5,20,0.25,4.0,419,87.11,365,54,745.0,14900.0,1.69,1500.0,35.56
30,15,2.0,0.5,419,37.47,157,262,739.75,14795.0,1.19,4660.0,35.31
25,15,1.67,0.6,419,41.77,175,244,702.75,14055.0,1.19,4800.0,33.54
40,40,1.0,1.0,419,52.27,219,200,672.0,13440.0,1.08,17600.0,32.08
20,15,1.33,0.75,419,47.26,198,221,637.75,12755.0,1.19,4245.0,30.44
40,35,1.14,0.88,419,48.93,205,214,622.0,12440.0,1.08,22205.0,29.69
5,15,0.33,3.0,419,81.38,341,78,535.0,10700.0,1.46,1300.0,25.54
40,15,2.67,0.38,419,29.59,124,295,474.75,9495.0,1.11,9660.0,22.66
40,20,2.0,0.5,419,35.56,149,270,472.0,9440.0,1.09,12805.0,22.53
50,60,0.83,1.2,419,55.85,234,185,439.0,8780.0,1.04,27000.0,20.95
50,25,2.0,0.5,419,34.61,145,274,282.0,5640.0,1.04,13360.0,13.46
50,30,1.67,0.6,419,38.42,161,258,178.0,3560.0,1.02,19085.0,8.5
50,50,1.0,1.0,419,50.6,212,207,118.0,2360.0,1.01,22000.0,5.63
50,15,3.33,0.3,419,23.39,98,321,4.75,95.0,1.0,11560.0,0.23
50,75,0.67,1.5,419,59.67,250,169,-206.25,-4125.0,0.98,42965.0,-9.84
50,20,2.5,0.4,419,28.16,118,301,-238.0,-4760.0,0.96,15005.0,-11.36
50,35,1.43,0.7,419,40.81,171,248,-262.0,-5240.0,0.97,22285.0,-12.51
50,40,1.25,0.8,419,43.91,184,235,-332.0,-6640.0,0.96,21000.0,-15.85
50,45,1.11,0.9,419,46.3,194,225,-557.0,-11140.0,0.94,26685.0,-26.59
