tp_pts,sl_pts,rr_ratio,risk_mult,total_trades,win_rate,wins,losses,pnl_pts,pnl_usd,profit_factor,max_dd_usd,avg_trade_usd
25,60,0.42,2.4,156,83.33,130,26,1665.25,33305.0,2.07,2600.0,213.49
25,50,0.5,2.0,156,80.77,126,30,1625.25,32505.0,2.08,2500.0,208.37
25,35,0.71,1.4,156,74.36,116,40,1475.25,29505.0,2.05,4700.0,189.13
25,40,0.62,1.6,156,76.28,119,37,1470.25,29405.0,1.99,5800.0,188.49
15,60,0.25,4.0,156,92.31,144,12,1440.0,28800.0,3.0,1200.0,184.62
20,60,0.33,3.0,156,86.54,135,21,1431.0,28620.0,2.14,2800.0,183.46
50,60,0.83,1.2,156,63.46,99,57,1419.25,28385.0,1.41,6600.0,181.96
30,60,0.5,2.0,156,76.92,120,36,1405.25,28105.0,1.65,5400.0,180.16
30,50,0.6,1.67,156,73.72,115,41,1365.25,27305.0,1.67,4800.0,175.03
15,50,0.3,3.33,156,90.38,141,15,1365.0,27300.0,2.82,2700.0,175.0
20,50,0.4,2.5,156,83.97,131,25,1361.0,27220.0,2.09,2800.0,174.49
20,40,0.5,2.0,156,80.77,126,30,1311.0,26220.0,2.09,4000.0,168.08
20,35,0.57,1.75,156,78.85,123,33,1296.0,25920.0,2.12,3200.0,166.15
50,50,1.0,1.0,156,58.97,92,64,1289.25,25785.0,1.4,8000.0,165.29
30,35,0.86,1.17,156,66.67,104,52,1265.25,25305.0,1.7,5200.0,162.21
15,40,0.38,2.67,156,87.18,136,20,1240.0,24800.0,2.55,2200.0,158.97
12,60,0.2,5.0,156,94.23,147,9,1224.0,24480.0,3.27,1440.0,156.92
30,40,0.75,1.33,156,68.59,107,49,1215.25,24305.0,1.62,6200.0,155.8
12,50,0.24,4.17,156,92.95,145,11,1190.0,23800.0,3.16,1040.0,152.56
40,60,0.67,1.5,156,67.95,106,50,1159.25,23185.0,1.39,7200.0,148.62
10,60,0.17,6.0,156,96.15,150,6,1140.0,22800.0,4.17,1200.0,146.15
